Date,Year,Nest,Site,Camera  Status,Fate,Nest Status,LDLD,Nest Stage,Cause,Cause2,notes/nature of failure
4/24/2017,2017,203,203,1,,0,10,Nestling,Success,Success,
4/25/2017,2017,203,203,1,,0,10,Nestling,Success,Success,
4/26/2017,2017,203,203,1,,0,10,Nestling,Success,Success,
4/27/2017,2017,203,203,1,,0,10,Nestling,Success,Success,
4/28/2017,2017,203,203,1,,0,10,Nestling,Success,Success,
4/29/2017,2017,203,203,1,,0,10,Nestling,Success,Success,
4/30/2017,2017,203,203,1,fledged,0,10,Nestling,Success,Success,discolored starting 1017
5/11/2017,2017,405,405,1,,0,10,Incubation,Success,Success,
5/12/2017,2017,405,405,1,,0,10,Incubation,Success,Success,
5/13/2017,2017,405,405,1,,0,10,Incubation,Success,Success,
5/14/2017,2017,405,405,1,,0,10,Incubation,Success,Success,
5/15/2017,2017,405,405,1,,0,10,Incubation,Success,Success,
5/16/2017,2017,405,405,1,,0,10,Incubation,Success,Success,
5/17/2017,2017,405,405,1,,0,10,Nestling,Success,Success,
5/18/2017,2017,405,405,1,,0,10,Nestling,Success,Success,
5/19/2017,2017,405,405,1,,0,10,Nestling,Success,Success,
5/20/2017,2017,405,405,1,,0,10,Nestling,Success,Success,
5/21/2017,2017,405,405,1,,0,10,Nestling,Success,Success,
5/22/2017,2017,405,405,1,,0,10,Nestling,Success,Success,
5/23/2017,2017,405,405,1,,0,10,Nestling,Success,Success,
5/24/2017,2017,405,405,1,,0,10,Nestling,Success,Success,
5/25/2017,2017,405,405,1,,0,10,Nestling,Success,Success,
5/26/2017,2017,405,405,1,,0,10,Nestling,Success,Success,
5/27/2017,2017,405,405,1,,0,10,Nestling,Success,Success,
5/28/2017,2017,405,405,1,fledged,0,10,Nestling,Success,Success,
4/9/2017,2017,502,502,1,,0,10,Incubation,Success,Success,
4/10/2017,2017,502,502,1,,0,10,Incubation,Success,Success,
4/11/2017,2017,502,502,1,,0,10,Incubation,Success,Success,
4/12/2017,2017,502,502,1,,0,10,Incubation,Success,Success,
4/13/2017,2017,502,502,1,,0,10,Incubation,Success,Success,
4/14/2017,2017,502,502,1,,0,10,Incubation,Success,Success,
4/15/2017,2017,502,502,1,,0,10,Incubation,Success,Success,
4/16/2017,2017,502,502,1,,0,10,Incubation,Success,Success,
4/17/2017,2017,502,502,1,,0,10,Incubation,Success,Success,
4/18/2017,2017,502,502,1,,0,10,Incubation,Success,Success,
4/19/2017,2017,502,502,1,,0,10,Incubation,Success,Success,
4/20/2017,2017,502,502,1,,0,10,Incubation,Success,Success,
4/21/2017,2017,502,502,1,,0,10,Nestling,Success,Success,
4/22/2017,2017,502,502,1,,0,10,Nestling,Success,Success,
4/23/2017,2017,502,502,1,,0,10,Nestling,Success,Success,
4/24/2017,2017,502,502,1,,0,10,Nestling,Success,Success,
4/25/2017,2017,502,502,1,,0,10,Nestling,Success,Success,
4/26/2017,2017,502,502,1,,0,10,Nestling,Success,Success,
4/27/2017,2017,502,502,1,,0,10,Nestling,Success,Success,
4/28/2017,2017,502,502,1,,0,10,Nestling,Success,Success,
4/29/2017,2017,502,502,1,,0,10,Nestling,Success,Success,
4/30/2017,2017,502,502,1,fledged,0,10,Nestling,Success,Success,
5/22/2017,2017,601,601,1,,0,10,Incubation,Fox,Native,
5/23/2017,2017,601,601,1,,0,10,Incubation,Fox,Native,
5/24/2017,2017,601,601,1,,0,10,Incubation,Fox,Native,
5/25/2017,2017,601,601,1,,0,10,Incubation,Fox,Native,
5/26/2017,2017,601,601,1,,0,10,Incubation,Fox,Native,
5/27/2017,2017,601,601,1,,0,10,Incubation,Fox,Native,
5/28/2017,2017,601,601,1,,0,10,Incubation,Fox,Native,night time footage black
